003YT,r1bqk1nr/1pp2ppp/p1pb4/4p3/3PP3/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 6,d8f6 d4e5 d6e5 c1g5 f6d6 f3e5 d6d1 f1d1,1729,167,-60,10,advantage fork opening veryLong,https://lichess.org/TAffogpQ/black#12
003eP,8/r1b1q2k/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ6/2K4R b - - 1 36,h7g8 h1h8 g8f7 h8h7 f7e8 h7e7,1228,77,93,1497,crushing exposedKing long middlegame skewer,https://lichess.org/n9vCFmKh/black#72
003jv,1R6/1p2k2p/p2n2p1/4K3/8/6P1/P6P/8 w - - 10 37,b8h8 d6f7 e5e4 f7h8,932,82,89,326,crushing endgame fork short,https://lichess.org/n0UvwK36#73
003nQ,6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R4R1K w - - 2 29,f1g1 f5g3 f2g3 g8g3,1326,98,65,17,crushing kingsideAttack master middlegame pin short,https://lichess.org/p85fiZcl#57
003r5,r2qr1k1/ppp2ppp/4b3/3P4/1nP2Q2/2N2N1P/PP3KP1/R4R2 w - - 1 15,d5e6 b4d3 f2g1 d3f4,1251,77,91,304,crushing fork middlegame short,https://lichess.org/JPN97v7j#29
003wQ,2r2rk1/6pp/3Q1q2/8/3N1B2/6P1/PP1K3P/R4b2 w - - 0 24,a1f1 f6d6 f4d6 f8f1,1881,75,91,432,advantage discoveredAttack middlegame pin short,https://lichess.org/W3wvnzlo#47
0045Q,rnbqkb1r/pppp2pp/8/4P3/2B5/4p3/PPPP2PP/R1BQK1NR w KQkq - 0 7,d1f3 d8h4 e1d1 h4c4,1431,75,95,1891,advantage fork opening short,https://lichess.org/fTegzZIT#13
0048h,4r3/p5k1/2p2R1p/2Pp4/1P1pr1P1/P6P/8/3R3K w - - 1 35,f6c6 e4e1 d1e1 e8e1 h1g2 d4d3,1099,133,86,12,crushing endgame exposedKing long rookEndgame,https://lichess.org/dq15P00L#69
004Ao,4qk2/1b3rR1/p7/1p2Q3/4P2P/P2P3K/2r5/3R4 w - - 5 41,g7f7 e8f7 e5h8 f8e7,1742,112,85,12,advantage endgame short,https://lichess.org/aFlzjb1K#81
004LZ,8/7R/5p2/p7/7P/2p5/3k2r1/1K2N3 w - - 3 48,e1g2 c3c2 b1a2 c2c1q h7d7 d2e2,1333,77,90,1591,advancedPawn crushing defensiveMove deflection endgame long promotion,https://lichess.org/drahwNdj#95
004iZ,r2r2k1/2q1bpp1/3p1n1p/1ppN4/1P1BP3/P5Q1/4RPPP/R5K1 b - - 1 20,f6d5 g3g7,1146,79,97,393,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/dQ85JUe1/black#40
004nd,3q2k1/2r5/pp3p1Q/2b1n3/P3N3/2P5/1P4PP/R6K b - - 0 24,c7d7 e4f6 d8f6 h6f6,969,89,95,111,crushing fork middlegame short,https://lichess.org/IajkZZBp/black#48
004sY,8/2k3n1/3p2p1/1KpP2Pp/2P4P/7B/8/8 w - - 0 57,b5a6 c7d8 a6b5 g7f5,2151,99,63,26,crushing endgame short,https://lichess.org/sMrTPfXp#113
004sg,6k1/p3b2p/1p1pP3/2p3P1/1Pnp3B/P6P/3Q3K/8 w - - 0 38,b4c5 c4d2 c5c6 d6d5 g5g6 e7d6,2497,87,91,121,advantage clearance endgame hangingPiece long quietMove,https://lichess.org/pSRIvt7K#75
004zI,2q3k1/4br1p/6RQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 b - - 0 27,h7g6 h6h8,1443,80,85,106,endgame mate mateIn1 oneMove,https://lichess.org/HE33gdt4/black#54
005HF,3r1rk1/1pR3pp/p2bp3/1q2Np2/3P4/1P5Q/5PPP/4R1K1 w - - 2 27,c7g7 g8g7 h3g3 g7h8,1399,86,63,34,crushing defensiveMove hangingPiece middlegame short,https://lichess.org/IqVPsfjB#53
005N7,r6k/2q3pp/8/2p1n3/R1Qp4/7P/2PB1PP1/6K1 b - - 0 32,e5c4 a4a8 c7b8 a8b8,692,87,100,337,backRankMate endgame hangingPiece mate mateIn2 short,https://lichess.org/jxZhmGhg/black#64
005YX,2rr4/2N2pk1/p1Q1b1pp/1p4q1/3pP3/1B1P4/PPP3PP/6RK w - - 7 25,c7e6 f7e6 c6b7 g7h8,1440,309,100,5,defensiveMove equality middlegame short,https://lichess.org/zbi5w5Qy#49
005f3,r5k1/2p1pp2/pp4p1/1q1r4/5P2/2QP2R1/PP6/1K4R1 b - - 0 32,d5h5 g3g6 f7g6 g1g6 g8f7 c3g7 f7e8 g7g8 e8d7 g8e6 d7d8 g6g8,2087,74,94,2115,crushing endgame sacrifice veryLong,https://lichess.org/Prb24UzR/black#64
005qG,8/8/1p1k1p1p/3npp2/2B5/PP1K1PP1/7P/8 b - - 0 36,f5f4 c4d5 f4g3 h2g3 d6d5 g3g4,2247,102,61,40,crushing defensiveMove endgame long,https://lichess.org/RMj9gStA/black#72
005ws,8/8/5pp1/3K3p/3N2kP/8/8/8 w - - 2 62,d5e6 g6g5 h4g5 f6g5 e6d5 h5h4 d5e4 h4h3 d4f3 g4g3,2288,81,86,232,crushing endgame knightEndgame master quietMove veryLong,https://lichess.org/LOwACSXb#123
0061g,6k1/pp3pp1/2p1q1Pp/3b4/8/6Q1/PB3Pp1/3RrNK1 b - - 2 27,e1d1 g3b8 e6e8 b8e8,965,93,100,35,endgame mate mateIn2 short,https://lichess.org/dJ3xEKJK/black#54
0066C,r2q1r1k/2p3p1/pb2Q2p/1p1p1n2/8/1BP5/PP1B1PPP/3RR1K1 w - - 3 20,b3d5 b6f2 g1f2 f5d4 f2g1 d4e6,1717,77,80,124,advantage discoveredAttack kingsideAttack long middlegame sacrifice,https://lichess.org/ZyuTEP3l#39
0068B,r1q3k1/4bppp/pp2pn2/4B3/8/2N2Q2/PPPR1PPP/6K1 b - - 0 18,f6d7 d2d7 c8d7 f3a8,1510,75,95,2718,crushing deflection middlegame short,https://lichess.org/LNdzAgWP/black#36
006HV,1r6/5k2/2p1pNp1/p5Pp/1pQ1P2P/2P4R/KP3P2/3q4 w - - 4 31,c4c6 b4b3 a2a3 d1a1,1392,77,91,702,endgame mate mateIn2 short,https://lichess.org/ibb2c72C#61
006RM,1k1r3r/2q5/pp1n2p1/8/1Q6/3R2P1/PPP2P1P/3R2K1 b - - 4 29,c7c5 b4c5 b6c5 d3d6 d8d6 d1d6,1572,76,89,250,crushing long middlegame,https://lichess.org/ceS0QvtT/black#58
006XF,r5kr/pp1qb1p1/2p4p/3pPb1Q/3P4/2P1B3/PP4PP/R4RK1 b - - 1 17,f5e4 h5f7 g8h7 f1f6 e7f6 f7d7,2319,82,91,570,advantage long middlegame pin,https://lichess.org/Ynra1LLE/black#34
006eO,8/8/2p2k2/1p1p4/3P4/1PP1pK2/8/8 b - - 3 64,f6f5 b3b4,1369,296,100,20,defensiveMove endgame equality oneMove pawnEndgame,https://lichess.org/2cHqPgSG/black#128
006x0,3Q4/5kr1/8/1P2pB2/2Pp1n2/q2P3P/7K/5R2 w - - 7 49,d8d7 f7f6 d7d8 f6f5,1215,379,100,2,defensiveMove endgame equality short,https://lichess.org/yJzYpNj0#97
0070J,r4rk1/ppq2ppp/2nbp1b1/3p4/3Pn3/2PB1N1P/PP3PP1/R1BQRNK1 b - - 4 14,e4f2 g1f2 g6d3 d1d3,987,89,61,73,advantage hangingPiece middlegame short,https://lichess.org/SHqFVu02/black#28
0072T,3q1nk1/1bN2rpp/pp1P4/1N6/4n2b/8/PPP2PPP/R1BQ1RK1 w - - 1 16,b5d4 h4f2 f1f2 e4f2,1794,119,88,36,advantage kingsideAttack master middlegame short,https://lichess.org/aqhibPRF#31
0078T,rk5r/1b3R2/pp2p2q/4P2p/B2p3B/4R2P/PP4P1/5Q1K b - - 0 27,d4e3 f7b7 b8b7 f1f7 b7b8 h4e7,2336,81,80,68,attraction crushing defensiveMove exposedKing long middlegame queensideAttack sacrifice,https://lichess.org/mXf4gFYU/black#54
007Mm,8/6pk/7p/p1p4P/P2p2R1/1P3q1K/2P3R1/8 w - - 11 58,g2g3 f3h1,1305,85,88,58,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/6wQhCffQ#115
007Rn,4r1k1/p4p1p/1p6/6q1/3P2n1/P4Q2/1P1B2P1/7K w - - 0 34,d2g5 e8e1 f3f1 e1f1,994,81,75,71,endgame mate mateIn2 short,https://lichess.org/L9kH7FqT#67
007XE,2kr3r/p1p1bpp1/2p2n1p/8/8/1P6/P1P1RPPP/RNB3K1 w - - 1 16,e2e7 d8d1 e7e1 d1e1,980,144,69,13,backRankMate fork mate mateIn2 middlegame short,https://lichess.org/f4f7UwiT#31
007eS,6k1/p4p2/1p5p/4r3/P3B3/1P3P2/2PK2PP/8 w - - 0 29,d2e3 f7f5 g2g4 f5e4,1227,75,100,257,advantage endgame short,https://lichess.org/8qs8bafy#57
007gO,2r3rk/5p2/4p2p/4q3/1Q6/8/1P3PPP/R4RK1 w - - 0 31,a1c1 e5g5 g2g3 c8c1,2121,89,70,40,crushing endgame short,https://lichess.org/id1brvZc#61
007ku,r1bq3Q/1np2kp1/p5B1/1p1Pp3/1Pn2BP1/2b2P2/P3K3/R4N2 b - - 5 35,f7g6 h8h5 g6f6 f4g5,1754,74,93,423,mate mateIn2 middlegame short,https://lichess.org/QveLbBjG/black#70
008GK,1k1r4/ppp3p1/8/1P5p/8/P3n2P/2P1r1P1/B3NRK1 b - - 4 31,d8d1 f1f8 d1d8 f8d8,666,85,100,221,backRankMate endgame mate mateIn2 short,https://lichess.org/9vFFDYsH/black#62
008Sk,8/6pp/3Bp2k/p2pP2P/P2bp1PK/8/r7/5R2 b - - 2 37,d4f2 f1f2 g7g5 h4g3 a2f2 g3f2,1797,76,95,2423,crushing endgame long,https://lichess.org/rah6MiKa/black#74
008lc,7k/pb1qn2n/1p2R2Q/2p2p2/2Pp4/3B4/PP3PrP/4RK2 b - - 1 27,g2g7 h6g7 h8g7 e6e7 d7e7 e1e7,1900,74,93,404,attraction crushing exposedKing fork long middlegame,https://lichess.org/UdZXrVA5/black#54
008nF,2rq1rk1/7p/1n4pb/1R2p3/pPpP1P2/P1B5/3NQ1PP/2R3K1 w - - 0 31,e2e5 f8e8 e5e8 d8e8,2201,77,88,224,crushing master middlegame short trappedPiece,https://lichess.org/tYO5rrIU#61
008oX,4r1k1/2R3pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1N4 b - - 3 32,e8e1 c7c8 e1e8 c8e8,974,82,100,146,endgame mate mateIn2 short,https://lichess.org/APGKH8YH/black#64
009De,r1q4r/2p1kP2/3p4/2pPp3/p1P1Pb2/P1NB3b/1P3KP1/R2Q1R2 w - - 1 23,g2h3 c8h3 d1f3 h3h2 f3g2 f4e3 f2f3 h8h3 g2h3 h2h3,1999,84,79,44,advantage exposedKing middlegame veryLong,https://lichess.org/PsMgMg87#45
009FS,r2qr1k1/p5bp/1pp1b1p1/8/2QN1p2/2P1n2P/PP3PP1/R1B1RNK1 w - - 1 18,d4e6 e3c4 e6d8 e8e1,1767,77,75,115,crushing discoveredAttack opening short,https://lichess.org/MOdm5bE7#35
009IO,3rk3/5p1r/p2Np1p1/3bP3/P2n4/8/1P3RPP/5RK1 b - - 4 25,e8e7 f2f7 h7f7 f1f7,1190,81,87,512,hookMate mate mateIn2 middlegame short,https://lichess.org/LJBrm9Or/black#50
009L0,6k1/pb2r1pN/1n4Bp/3p4/1P2pR2/P7/3R1PPP/2r3K1 w - - 2 30,d2d1 c1d1,706,146,18,18,backRankMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/SAhQtou2#59
009XT,rn1qk2r/pp3ppp/3bp1b1/3p4/3Pn2N/3BB3/PPP2PPP/RN1Q1RK1 w kq - 4 10,h4g6 d6h2 g1h1 h7g6,2069,74,95,2496,crushing intermezzo opening short,https://lichess.org/bf23N8Ng#19
009f8,8/1p4p1/pb2ppkp/3n4/3P4/P3BN1P/1P2KPP1/8 b - - 0 26,g6f5 f3h4 f5e4 f2f3,1183,77,87,83,endgame mate mateIn2 short,https://lichess.org/paDYagZM/black#52
009tE,6k1/6pp/p1N2p2/1pP2bP1/5P2/8/PPP5/3K4 b - - 1 28,f6g5 c6e7 g8f7 e7f5,689,101,90,106,crushing endgame fork short,https://lichess.org/fUV1iXBx/black#56
009zR,3r4/p1p2ppp/4k3/6Q1/5P2/4P3/Prqn2PP/3R1RK1 w - - 3 22,g5d8 d2f3 g1h1 c2g2,1621,81,79,158,discoveredAttack endgame mate mateIn2 short,https://lichess.org/SctCD3fJ#43
00AB1,8/7Q/3p1kp1/1p6/2b5/2P4P/5PPK/4q3 b - - 8 36,e1c3 h7h8 f6e6 h8c3,1302,75,98,3328,crushing endgame short skewer,https://lichess.org/KQDr21Ph/black#72
00AHY,r6k/3NR1p1/4n2p/5b2/p6P/6R1/8/6K1 w - - 2 43,h4h5 a4a3 g3a3 a8a3 e7e8 h8h7,1637,75,93,258,advantage endgame long,https://lichess.org/SFxNjHBp#85
00AVR,br1qkb1r/p1pp1ppp/4Pn2/6B1/3Qn3/5NP1/P3PPBP/RN1R2K1 b k - 0 15,d7e6 d4a4 d8d7 d1d7,1918,79,70,35,crushing opening short,https://lichess.org/KxeQFmHl/black#30
00Af3,8/8/2B2p1p/P4Pp1/3p1kP1/1b1Pb2P/8/4K3 b - - 0 50,f4g3 a5a6 b3c4 a6a7,1160,77,97,1960,advancedPawn bishopEndgame crushing endgame short,https://lichess.org/JBQDYKyD/black#100
00Al5,2r3k1/p2q1pbp/1p2pnp1/nB1p4/3P4/1Pr1P2P/P1QB1PP1/2R2RK1 w - - 0 19,b5d7 c3c2 d7c8 c2d2,1836,74,92,572,advantage middlegame short,https://lichess.org/EtyflSie#37
00AoZ,8/1R6/p1pk4/6bp/1QP5/P7/KP6/3r2q1 b - - 2 44,g1c5 b7d7 d6d7 b4c5,1198,76,97,1284,advantage deflection endgame short,https://lichess.org/356BAYqk/black#88
00AuR,8/4bkp1/R6P/4p3/Pp2P3/1P1rB3/6P1/6K1 b - - 0 33,d3e3 h6h7 e3e1 g1h2,1753,91,83,23,advancedPawn crushing endgame short,https://lichess.org/NQjprK7P/black#66
00B3B,2K5/3P4/5b2/p1B5/P7/3k4/6p1/8 w - - 7 77,d7d8q f6d8 c8d8 d3c4,1734,74,93,458,crushing endgame short,https://lichess.org/b7iJvp5Z#153
00B5A,r2qk2r/ppp2ppp/2n1b3/1B1N4/3b4/3P3P/P1P1QPP1/1R2K1NR w Kkq - 4 13,g1f3 d8d5 f3d4 d5d4 b5c6 b7c6,1439,75,97,3926,advantage hangingPiece long middlegame,https://lichess.org/JCYgLgB2#25
00BM8,r4rk1/pp2bppp/2ppnn2/8/N1P1P3/q1P4P/P2N2PB/R2Q1R1K b - - 0 16,a8d8 d2b1 a3a4 d1a4,1584,76,95,4252,advantage master middlegame short trappedPiece,https://lichess.org/IBbaWSo7/black#32
